,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
17,102.368,114.447,0.3802704166486931,17,7.379596341790001,140.0,228.105,-32.0,78.10499999999999,27_11_2024/fish3p2_17
4,104.182,118.152,0.3756868044312431,4,14.954967473390866,175.985,158.712,3.9850000000000136,8.711999999999989,27_11_2024/fish3p2_4
11,101.167,113.778,0.36687402916081974,11,1.8116625795975176,172.611,194.722,0.61099999999999,44.72200000000001,27_11_2024/fish3p2_11
9,103.571,118.629,0.3632676425587694,9,4.923587811051484,173.957,180.271,1.9569999999999936,30.270999999999987,27_11_2024/fish3p2_9
27,87.625,89.125,0.3585657370517928,27,33.44933673044969,205.0,80.0,33.0,-70.0,27_11_2024/fish3p2_27
1,94.806,102.032,0.3429617538575306,1,56.34055362149251,118.952,120.081,-28.048000000000002,-12.918999999999997,27_11_2024/fish3p1_1
11,104.487,122.385,0.33735141960022075,11,8.983041036637124,139.141,178.603,-7.859000000000009,45.60300000000001,27_11_2024/fish3p1_11
30,88.69,92.238,0.3037869330004159,30,9.470882078300262,224.5,94.0,52.5,-56.0,27_11_2024/fish3p2_30
13,92.0,100.769,0.29381911426892454,13,37.383499456417056,118.833,205.603,-53.167,55.60300000000001,27_11_2024/fish3p2_13
10,111.0,149.633,0.2821476414591063,10,3.3857355516224454,155.582,162.01,8.581999999999994,29.00999999999999,27_11_2024/fish3p1_10
26,88.773,94.045,0.25003575082226853,26,51.79302290304898,188.0,72.5,16.0,-77.5,27_11_2024/fish3p2_26
29,89.258,97.129,0.21869449378330338,29,77.85653493985608,148.5,85.5,-23.5,-64.5,27_11_2024/fish3p2_29
