,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
19,95.907,94.693,0.580013882056431,19,37.45830267192713,119.5,115.5,-35.5,4.0,27_11_2024/fish5p1_19
27,91.692,90.462,0.5767146057671448,27,54.03982362889775,134.0,102.0,-14.167000000000002,-42.833,26_11_2024/fish4_plane2_27
12,120.462,116.962,0.5741721574727463,12,4.2889592864014245,142.269,174.192,-0.7309999999999945,27.192000000000007,27_11_2024/fish7p1_12
6,117.795,113.308,0.5737157477870695,6,62.833044634627676,102.731,96.423,-52.269000000000005,-15.076999999999998,27_11_2024/fish5p1_6
14,121.711,115.842,0.5732543325044558,14,3.384336124958938,136.947,193.184,-10.052999999999997,60.184,27_11_2024/fish3p1_14
21,91.265,91.382,0.5712058790780532,21,58.05837146921207,150.5,138.0,-31.5,-25.5,26_11_2024/fish3p2_21
19,93.646,92.208,0.5692855720512423,19,48.62815809077769,127.0,123.0,-21.167,-21.833,26_11_2024/fish4_plane2_19
8,103.763,102.184,0.5638086873260936,8,43.08613635210358,105.237,184.184,-58.93000000000001,44.016999999999996,26_11_2024/fish4_plane1_8
10,99.577,98.308,0.5578721156262657,10,61.26269833084209,125.0,88.5,-28.833,-39.333,27_11_2024/fish6p1_10
6,102.054,101.108,0.5544650449405165,6,4.374469921095778,161.635,164.635,-2.5320000000000107,24.46799999999999,26_11_2024/fish4_plane1_6
20,91.541,91.622,0.5503936062190873,20,1.2111871259100466,191.5,164.5,19.5,14.5,27_11_2024/fish3p2_20
12,112.219,110.688,0.5491394274806715,12,0.7947724743660258,164.844,201.906,-7.156000000000006,51.906000000000006,27_11_2024/fish3p2_12
6,112.542,111.396,0.544426744268697,6,1.7367512674217898,182.229,173.375,10.229000000000013,23.375,27_11_2024/fish3p2_6
9,124.484,124.419,0.5419970659716011,9,0.3288284733374018,153.887,168.694,10.887,21.69399999999999,27_11_2024/fish7p1_9
21,88.094,88.562,0.5319361943536002,21,10.635502087555286,167.0,180.5,-5.0,30.5,27_11_2024/fish3p2_21
28,87.844,88.344,0.5263157894736842,28,73.6734521127381,159.0,77.0,-13.0,-73.0,27_11_2024/fish3p2_28
17,94.919,95.432,0.5257373764698918,17,14.743208864063051,136.5,234.5,-45.5,71.0,26_11_2024/fish3p2_17
15,115.026,115.0,0.5216390406310809,15,9.022747435836099,125.658,201.079,-21.342,68.07900000000001,27_11_2024/fish3p1_15
1,108.161,109.194,0.5195867485109945,1,48.04865654488117,145.339,145.145,-26.661,-4.85499999999999,27_11_2024/fish3p2_1
10,91.5,89.976,0.5191550304332265,10,34.125102727872495,135.5,173.0,-35.333,20.5,26_11_2024/fish7p2_10
21,96.469,98.875,0.5189641714330058,21,75.09764727531442,88.0,128.5,-55.0,-18.5,27_11_2024/fish7p1_21
31,90.75,91.25,0.5160662122687445,31,24.384229111882824,143.5,156.0,-20.667,15.832999999999998,26_11_2024/fish4_plane1_31
11,91.853,90.382,0.5155554146789859,11,62.23346270850369,122.5,140.0,-48.333,-12.5,26_11_2024/fish7p2_11
14,97.692,96.808,0.5053694110323051,14,0.028512520091841815,181.0,163.5,10.167000000000002,11.0,26_11_2024/fish7p2_14
5,107.16,108.32,0.5042441390460792,5,4.220857407331432,169.74,136.7,22.74000000000001,3.6999999999999886,27_11_2024/fish3p1_5
14,128.675,132.8,0.5035369966868639,14,0.4225339538196605,162.65,207.525,-9.349999999999994,57.525000000000006,27_11_2024/fish3p2_14
10,91.0,90.692,0.5006675567423241,10,33.708841469828116,101.0,195.5,-48.5,48.667,26_11_2024/fish7p1_10
24,90.647,91.588,0.47339367693251483,24,32.38840447038997,101.0,212.5,-63.167,72.333,26_11_2024/fish4_plane1_24
17,90.73,89.595,0.4720744680851077,17,44.11613370653884,153.5,123.5,-17.333,-29.0,26_11_2024/fish7p2_17
9,105.522,110.109,0.46664521426510747,9,11.28720880862074,172.196,188.891,-9.804000000000002,25.39099999999999,26_11_2024/fish3p2_9
7,119.234,129.915,0.46481543011836224,7,46.24930872499811,100.883,156.798,-42.117000000000004,9.798000000000002,27_11_2024/fish7p1_7
3,98.5,102.042,0.46436034362665424,3,0.3508956025961732,195.583,156.625,23.583,6.625,27_11_2024/fish3p2_3
14,93.618,95.529,0.46404019037546257,14,50.54425055988947,110.5,106.0,-44.5,-5.5,27_11_2024/fish5p1_14
24,88.5,91.577,0.45717359150195047,24,4.816299351765274,166.5,148.0,23.5,1.0,27_11_2024/fish7p1_24
9,114.807,120.912,0.4557873884967034,9,0.44728394558004136,156.061,205.956,-14.771999999999991,53.45599999999999,26_11_2024/fish7p2_9
2,98.308,102.282,0.45574544949284446,2,3.0539680338479784,195.115,151.09,23.11500000000001,1.0900000000000034,27_11_2024/fish3p2_2
14,98.194,101.667,0.4518456471663272,14,44.537035538596534,140.0,177.0,-42.0,13.5,26_11_2024/fish3p2_14
5,115.051,124.513,0.4516927204871466,5,21.647285340312635,158.731,173.013,-13.269000000000005,23.013000000000005,27_11_2024/fish3p2_5
2,105.282,111.103,0.4513644435571154,2,30.41764274589237,148.628,135.372,-15.539000000000016,-4.7949999999999875,26_11_2024/fish4_plane1_2
30,93.81,96.095,0.44840584262604094,30,1.1162167364836182,155.5,181.5,-8.667000000000002,41.333,26_11_2024/fish4_plane1_30
12,90.344,89.125,0.4406633847918544,12,73.60869909117683,96.0,127.5,-62.167,-6.667000000000002,26_11_2024/fish9_12
3,106.828,114.483,0.4392440539652977,3,49.008149515288274,149.466,70.707,-5.533999999999992,-40.793000000000006,27_11_2024/fish5p1_3
2,108.643,114.405,0.4385233499587448,2,63.064480122990254,117.786,120.571,-40.381,-13.596000000000004,26_11_2024/fish9_2
8,103.135,107.459,0.4300553914870483,8,45.65057511789498,104.743,158.338,-53.42400000000001,24.170999999999992,26_11_2024/fish9_8
20,93.681,95.213,0.4290363451171341,20,66.28339116658672,95.5,139.5,-52.667,-5.332999999999998,26_11_2024/fish4_plane2_20
17,92.265,94.735,0.4278881371999828,17,8.44784521225618,177.0,100.5,22.0,-11.0,27_11_2024/fish5p1_17
25,89.312,93.312,0.42533424889930166,25,22.565490950489995,131.5,159.0,-11.5,12.0,27_11_2024/fish7p1_25
2,119.902,134.195,0.425105424897435,2,8.559546539729396,169.5,128.646,22.5,-4.354000000000013,27_11_2024/fish3p1_2
15,95.81,100.571,0.4241457858769933,15,17.55812676648061,141.357,207.31,-30.643,57.31,27_11_2024/fish3p2_15
8,89.5,89.591,0.4236091499576405,8,39.45226583581432,111.0,167.5,-38.5,20.667,26_11_2024/fish7p1_8
15,100.108,106.459,0.4215071315268115,15,65.85820158075454,78.5,115.5,-76.5,4.0,27_11_2024/fish5p1_15
10,104.077,112.385,0.4206417061349954,10,3.26494578330553,152.885,130.846,-2.115000000000009,19.346000000000004,27_11_2024/fish5p1_10
26,89.694,90.861,0.4199599536305204,26,46.99915929419235,169.0,68.0,4.832999999999998,-72.167,26_11_2024/fish4_plane1_26
16,100.273,105.667,0.41362906540841154,16,8.490295177002727,120.258,208.076,-27.909000000000006,63.242999999999995,26_11_2024/fish4_plane2_16
9,110.262,120.833,0.41357841683960866,9,0.09973795137832162,179.429,131.452,31.262,-13.381,26_11_2024/fish4_plane2_9
24,90.412,92.941,0.41345198588006543,24,16.13189549577927,122.5,239.0,-49.5,89.0,27_11_2024/fish3p2_24
0,111.176,123.5,0.4106998478889452,0,9.257935080903556,182.471,105.588,35.471000000000004,-27.412000000000006,27_11_2024/fish3p1_0
3,98.257,104.343,0.40653530417101963,3,27.60806225259038,148.1,141.814,-16.067000000000007,1.6469999999999914,26_11_2024/fish4_plane1_3
23,93.167,95.143,0.40430379527518123,23,46.59986932167491,88.5,187.0,-59.667,42.167,26_11_2024/fish4_plane2_23
8,110.971,128.5,0.40057971104253554,8,33.00238183666236,111.618,164.735,-31.382000000000005,17.735000000000014,27_11_2024/fish7p1_8
25,90.129,91.742,0.40034727018014743,25,59.81524425138428,131.5,106.5,-32.667,-33.667,26_11_2024/fish4_plane1_25
6,105.696,116.268,0.40022157595900837,6,2.023449671773775,168.929,142.339,21.929000000000002,9.338999999999999,27_11_2024/fish3p1_6
