,X,Y,theta,radius,divergence,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
137,81.0,64.0,3.976949212709184,113.27841806805037,0.4769492127091839,-84.0,-76.0,97.188,96.625,0.5574023871149767,137,fish4_plane1_137
104,66.5,162.5,2.836507222907092,94.88150504708491,0.663492777092908,28.5,-90.5,104.484,102.548,0.5570221434684602,104,fish9_104
216,63.5,82.5,3.5851332835025778,122.3376475170256,0.08513328350257776,-52.5,-110.5,98.968,99.839,0.5564631510588428,216,fish5p1_216
144,83.5,175.5,2.953653076667742,82.96083413274,0.546346923332258,15.5,-81.5,104.613,101.419,0.5554148876024517,144,fish7p2_144
73,76.25,134.062,3.140824851883086,80.75002380185407,0.35917514811691387,0.06200000000001182,-80.75,154.5,147.688,0.5553843908608864,73,fish9_73
80,95.071,151.729,3.259322802084688,70.4164361637253,0.24067719791531195,-8.270999999999987,-69.929,125.371,120.143,0.555143734081758,80,fish7p2_80
151,51.0,190.5,2.8801714847328443,118.00953351318698,0.6198285152671557,30.5,-114.0,112.962,109.038,0.5541377223988828,151,fish7p2_151
48,106.443,81.071,4.0654519178558655,83.8778951214204,0.5654519178558655,-66.929,-50.557,123.057,120.229,0.5532019946099322,48,fish4_plane1_48
49,125.0,81.278,4.265192584076391,73.99881947707003,0.7651925840763907,-66.722,-32.0,156.667,150.778,0.5530118567639044,49,fish4_plane1_49
181,95.0,116.0,3.3776163322156902,81.25269226308751,0.12238366778430976,-19.0,-79.0,110.0,110.031,0.552333609500138,181,fish5p1_181
55,73.258,100.5,3.6575591610847598,96.27550344713862,0.15755916108475976,-47.5,-83.742,110.121,108.606,0.5515605549419035,55,fish4_plane1_55
130,53.5,203.0,2.653140972371464,117.2060152039988,0.8468590276285362,55.0,-103.5,102.577,101.808,0.5496766942701036,130,fish4_plane1_130
81,77.107,156.679,3.1793592665949157,87.95571891582719,0.32064073340508426,-3.320999999999998,-87.893,122.036,118.036,0.5469797998966112,81,fish7p2_81
78,67.849,152.988,3.0857009088535285,89.29043031030817,0.41429909114647145,4.9879999999999995,-89.151,133.605,130.744,0.5469449569403294,78,fish4_plane1_78
128,59.5,161.0,3.132114264459931,105.50473923004597,0.3678857355400691,1.0,-105.5,110.118,107.029,0.5462086751685485,128,fish7p2_128
82,95.435,159.919,3.1427570317022635,69.56504715731889,0.3572429682977365,-0.08099999999998886,-69.565,114.065,110.839,0.5446185103994012,82,fish7p2_82
70,76.722,128.028,3.2158473672105434,80.49982650912983,0.28415263278945657,-5.972000000000008,-80.278,126.0,123.556,0.5438033607047692,70,fish9_70
156,83.5,76.5,3.7154391886545093,107.76131031126152,0.21543918865450928,-58.5,-90.5,104.613,105.613,0.5435355164618008,156,fish5p1_156
128,86.0,55.5,3.97711601837903,105.84540613555224,0.47711601837902995,-78.5,-71.0,100.462,99.654,0.542261284299095,128,fish9_128
94,75.038,187.192,2.6955587725836723,90.8503291573564,0.8044412274163277,39.19200000000001,-81.962,113.077,112.154,0.5414093507292997,94,fish4_plane1_94
148,94.0,111.0,3.745671042585751,86.2670273047588,0.24567104258575112,-49.0,-71.0,108.667,106.167,0.5390398981392689,148,fish7p2_148
147,57.0,129.0,3.421114805873433,112.36102527122117,0.07888519412656692,-31.0,-108.0,105.469,103.219,0.5372104798876474,147,fish7p2_147
126,74.0,53.0,3.9147962995389896,115.97413504743201,0.41479629953898955,-81.0,-83.0,99.375,99.062,0.5328791410187455,126,fish9_126
46,112.4,80.833,4.126223313756389,80.6260869012009,0.6262233137563893,-67.167,-44.599999999999994,122.2,121.833,0.5326210892960342,46,fish4_plane1_46
89,79.447,176.158,2.793312478005799,82.50661048061542,0.7066875219942008,28.157999999999987,-77.553,119.026,118.789,0.532084015801137,89,fish4_plane1_89
137,89.5,114.0,3.6888015742694953,88.40955830678038,0.1888015742694953,-46.0,-75.5,126.147,123.882,0.5312680847210373,137,fish7p2_137
56,79.5,102.712,3.6704337319653377,89.76220220114924,0.17043373196533773,-45.288,-77.5,110.909,111.152,0.528229439023995,56,fish4_plane1_56
116,68.0,99.0,3.516273853872569,95.63472172804185,0.016273853872569077,-35.0,-89.0,121.156,121.031,0.5273025615181323,116,fish9_116
149,61.5,184.5,2.77652555822779,102.23746866975922,0.7234744417722099,36.5,-95.5,99.524,99.905,0.5267769037101253,149,fish4_plane1_149
50,86.357,85.31,3.8674137562152797,94.44823740546988,0.3674137562152797,-62.69,-70.643,109.571,109.952,0.5265610323745155,50,fish4_plane1_50
135,69.5,178.5,2.9502454070822846,97.2753822917186,0.5497545929177154,18.5,-95.5,118.902,117.314,0.5262061133126571,135,fish7p2_135
132,9.0,156.5,3.0842232431368966,148.24388688913956,0.41577675686310345,8.5,-148.0,92.441,92.853,0.5255511567936667,132,fish4_plane1_132
76,56.594,145.031,3.1711539856543367,100.44988699346555,0.3288460143456633,-2.968999999999994,-100.406,107.812,108.375,0.5240351129046836,76,fish4_plane1_76
64,67.591,125.409,3.4828133589886847,103.36851823451858,0.017186641011315285,-34.590999999999994,-97.409,115.0,113.636,0.5238510992935949,64,fish7p2_64
143,78.5,170.5,3.020796362881248,87.13495280310882,0.479203637118752,10.5,-86.5,136.0,135.649,0.5191164069259329,143,fish7p2_143
205,128.0,81.5,4.002225430451856,70.55671477612886,0.5022254304518556,-53.5,-46.0,105.568,108.045,0.5189005263437715,205,fish5p1_205
50,109.5,90.062,3.8880551465129334,64.70546996970195,0.3880551465129334,-43.938,-47.5,138.688,140.375,0.5175933402885429,50,fish9_50
110,93.864,147.182,2.990731094410159,81.05664451480828,0.509268905589841,12.181999999999988,-80.136,113.091,115.909,0.5174372923579474,110,fish5p1_110
175,64.5,106.5,3.3962173197843346,113.14813299387666,0.10378268021566539,-28.5,-109.5,102.095,104.571,0.5171243556582834,175,fish5p1_175
92,77.608,182.473,2.731944871651749,86.55332109745991,0.7680551283482511,34.47300000000001,-79.392,125.946,128.135,0.5135393316362808,92,fish4_plane1_92
192,57.5,113.5,3.542504361388696,131.964010245218,0.042504361388695955,-51.5,-121.5,98.839,99.871,0.5121715893534586,192,fish3p2_192
54,102.882,92.412,3.7968094579128637,68.25188398864898,0.29680945791286373,-41.587999999999994,-54.117999999999995,124.059,126.088,0.5119509934612214,54,fish9_54
59,143.0,97.773,4.220746996995356,76.25922586153102,0.7207469969953557,-67.227,-36.0,116.273,118.273,0.5116657109932138,59,fish3p2_59
75,64.278,147.056,3.269404249574111,101.55032456865905,0.2305957504258891,-12.943999999999988,-100.722,111.222,110.944,0.5106108279650955,75,fish7p2_75
58,106.263,115.421,3.7908031813380005,73.73820183595474,0.29080318133800054,-44.57899999999999,-58.736999999999995,127.132,128.079,0.5086208944821523,58,fish7p2_58
36,102.9,64.45,4.137761641600266,99.53598595482941,0.6377616416002656,-83.55,-54.099999999999994,109.5,111.5,0.506389020350213,36,fish4_plane1_36
174,58.5,99.5,3.439787356405316,120.83252873295336,0.060212643594684145,-35.5,-115.5,105.762,109.095,0.5063168456819686,174,fish5p1_174
180,104.0,111.5,3.4654845323367054,73.83935265155024,0.03451546766329461,-23.5,-70.0,104.308,107.538,0.5062206660210089,180,fish5p1_180
41,120.735,71.882,4.267773454896309,84.3154798895197,0.7677734548963091,-76.118,-36.265,114.471,117.265,0.5023152866060052,41,fish4_plane1_41
99,79.957,190.1,2.8014133809941293,90.21264794362263,0.6985866190058707,30.099999999999994,-85.043,134.686,137.629,0.5003561098903009,99,fish7p2_99
130,93.0,49.5,4.064170925442999,106.00117923872357,0.5641709254429994,-84.5,-64.0,95.885,96.962,0.49777173502530414,130,fish9_130
55,88.242,96.855,3.636902461226746,78.14994298782308,0.1369024612267462,-37.144999999999996,-68.758,121.032,124.871,0.49761505004275575,55,fish9_55
171,56.0,120.5,3.2638610575289118,118.88755191356242,0.23613894247108824,-14.5,-118.0,100.923,104.385,0.4967385079009982,171,fish5p1_171
129,106.0,47.5,4.179655067470675,100.41538726709169,0.6796550674706747,-86.5,-51.0,95.846,97.0,0.4957354466452517,129,fish9_129
61,105.867,108.867,3.7948253542364774,64.38924893178984,0.2948253542364774,-39.132999999999996,-51.132999999999996,103.467,105.767,0.49415865686088517,61,fish4_plane1_61
50,97.864,98.924,3.87976050071306,90.76078598161212,0.37976050071306,-61.07599999999999,-67.136,115.121,117.0,0.4923248850449889,50,fish7p2_50
150,49.5,197.5,2.7100700946661695,118.3490599878174,0.7899299053338305,49.5,-107.5,97.333,98.952,0.492119584046222,150,fish4_plane1_150
63,89.107,125.107,3.572538015270011,83.53004787500124,0.0725380152700108,-34.893,-75.893,135.821,140.607,0.4913434034747086,63,fish7p2_63
109,102.214,144.571,3.401620261005383,79.45711948592147,0.09837973899461705,-20.429000000000002,-76.786,121.75,126.786,0.4908585941096969,109,fish3p2_109
74,61.257,142.311,3.2009423586347356,95.91186980765205,0.29905764136526436,-5.688999999999993,-95.743,112.108,115.973,0.48915856088606013,74,fish4_plane1_74
157,71.0,70.0,3.7045435515612994,121.79490958164057,0.20454355156129944,-65.0,-103.0,98.625,102.312,0.48572538800886883,157,fish5p1_157
146,87.5,179.0,2.9011732293889345,79.7950499717871,0.5988267706110655,19.0,-77.5,99.0,99.062,0.4854822145457942,146,fish7p2_146
72,59.891,138.848,3.3401790004611858,107.2161787464933,0.15982099953881423,-21.151999999999987,-105.10900000000001,107.391,108.826,0.4850805025569277,72,fish7p2_72
66,52.45,114.2,3.3287590982903312,106.40837608008121,0.17124090170966877,-19.799999999999997,-104.55,125.2,131.65,0.4843692079574941,66,fish9_66
113,68.5,101.5,3.6253717707210016,99.9724962177098,0.12537177072100159,-46.5,-88.5,104.71,107.871,0.48397435897435903,113,fish4_plane1_113
41,103.962,75.154,3.97885517111958,79.22045922613678,0.4788551711195801,-58.846000000000004,-53.038,118.923,124.423,0.48377972101443417,41,fish9_41
68,43.0,128.0,3.3152638519313666,115.7410903698423,0.18473614806863337,-20.0,-114.0,104.906,108.156,0.48318929082785633,68,fish4_plane1_68
62,96.289,117.132,3.6119707407748525,68.10770106970283,0.11197074077485247,-30.867999999999995,-60.711,121.895,128.289,0.48137939875649,62,fish4_plane1_62
119,83.5,100.0,3.5748628696537033,80.9830229122129,0.07486286965370326,-34.0,-73.5,108.059,112.029,0.48077572735336876,119,fish9_119
145,28.0,139.0,3.2936934356879113,138.6001443000692,0.2063065643120887,-21.0,-137.0,95.5,95.167,0.4799332266815054,145,fish7p2_145
73,98.622,139.793,3.437102429667296,69.3856017701079,0.06289757033270416,-20.206999999999994,-66.378,125.732,131.293,0.47781675369763665,73,fish7p2_73
65,41.792,114.208,3.311725538155761,116.89570791094086,0.18827446184423913,-19.792,-115.208,114.958,120.792,0.47585869175833384,65,fish9_65
68,126.9,107.1,3.979669307551038,77.88979393989946,0.47966930755103787,-57.900000000000006,-52.099999999999994,111.4,116.533,0.47526327910725874,68,fish3p2_68
83,77.367,163.133,2.9537976194839013,81.05814195995366,0.5462023805160987,15.13300000000001,-79.633,108.667,113.267,0.4752375956910437,83,fish4_plane1_83
66,62.464,126.821,3.454543216831933,107.7704845354237,0.045456783168067005,-33.179,-102.536,115.821,120.143,0.4722432813630363,66,fish7p2_66
127,59.5,219.5,2.5088438185876103,120.90698904529879,0.9911561814123897,71.5,-97.5,98.952,101.714,0.4722202882406184,127,fish4_plane1_127
188,83.5,154.5,3.2511004499825304,96.07549115148983,0.24889955001746955,-10.5,-95.5,112.194,117.871,0.471619332096773,188,fish3p2_188
134,55.0,107.5,3.3957770405499366,105.38619454178996,0.10422295945006343,-26.5,-102.0,107.038,111.769,0.47061507901000366,134,fish9_134
85,80.833,162.917,3.106949231054748,84.21753248581913,0.39305076894525204,2.9170000000000016,-84.167,140.556,150.806,0.4699076753878213,85,fish7p2_85
51,85.583,101.354,3.777664896969024,98.72392417747585,0.2776648969690241,-58.646,-79.417,118.917,124.25,0.469773906683629,51,fish7p2_51
114,80.5,85.0,3.8305170418046544,99.10221995495358,0.33051704180465435,-63.0,-76.5,102.971,106.794,0.4694439972346654,114,fish4_plane1_114
132,68.5,79.5,3.693562795263279,103.93507588874894,0.1935627952632788,-54.5,-88.5,110.619,116.429,0.468165541844708,132,fish9_132
70,69.389,131.278,3.330190721967603,89.19255913471707,0.16980927803239698,-16.72200000000001,-87.611,117.444,124.833,0.467688619853178,70,fish4_plane1_70
122,151.0,67.0,4.623074987391467,67.26812023536856,1.1230749873914672,-67.0,-6.0,102.875,106.906,0.46753570587501897,122,fish9_122
48,97.611,87.278,3.808178070015455,75.56453271872988,0.30817807001545505,-46.721999999999994,-59.388999999999996,111.778,118.0,0.4669910616265883,48,fish9_48
51,89.31,89.357,3.8555005326311558,89.55968707515676,0.3555005326311558,-58.643,-67.69,108.476,113.857,0.46631910910530633,51,fish4_plane1_51
85,58.557,167.757,2.943529088557735,100.40599234109486,0.5564709114422648,19.757000000000005,-98.443,106.314,111.257,0.4652410241739378,85,fish4_plane1_85
65,86.119,117.119,3.5524693211179685,77.31592540996971,0.05246932111796854,-30.881,-70.881,116.429,123.976,0.46462234366210126,65,fish4_plane1_65
49,85.468,90.565,3.687297319777819,83.6864759026212,0.18729731977781894,-43.435,-71.532,121.323,130.29,0.464283320211302,49,fish9_49
95,89.357,183.729,2.8376174372245306,79.27754341552216,0.6623825627754694,23.729000000000013,-75.643,116.8,122.4,0.46396841066140176,95,fish7p2_95
45,100.289,79.447,4.021247029309757,88.96994621780998,0.5212470293097571,-68.553,-56.711,111.684,118.158,0.46348921853013547,45,fish4_plane1_45
47,94.062,94.938,3.8838117893974387,96.25623973540624,0.38381178939743865,-65.062,-70.938,111.656,116.094,0.4625594851176864,47,fish7p2_47
87,64.682,169.833,2.909361794534103,94.86460358321222,0.590638205465897,21.833,-92.318,114.091,121.576,0.46027920287455354,87,fish4_plane1_87
109,83.633,216.367,2.3914572175192363,100.28341526892669,1.1085427824807637,68.36699999999999,-73.367,109.033,115.233,0.4593320123670531,109,fish4_plane1_109
55,109.643,102.69,3.944323349359856,79.6795679518909,0.44432334935985596,-57.31,-55.357,114.143,119.667,0.4589467026737603,55,fish7p2_55
125,56.5,53.0,3.819963343937867,129.07846450899547,0.3199633439378671,-81.0,-100.5,96.265,99.147,0.4585557615420695,125,fish9_125
217,37.5,75.0,3.5557312040660047,149.10482889564645,0.055731204066004736,-60.0,-136.5,93.269,96.769,0.4577321020580137,217,fish5p1_217
63,101.714,116.0,3.666284320519484,63.87911862259842,0.16628432051948394,-32.0,-55.286,120.429,130.214,0.45655916317022577,63,fish4_plane1_63
150,49.5,208.5,2.744038261832012,125.26970902816052,0.7559617381679882,48.5,-115.5,100.762,102.714,0.4561924695609121,150,fish7p2_150
46,88.284,85.824,3.753048807073666,83.9214849248987,0.25304880707366584,-48.176,-68.716,126.892,138.946,0.45562726186868235,46,fish9_46
154,75.5,206.5,2.6624252264665604,100.85881220795731,0.8375747735334396,46.5,-89.5,103.226,105.968,0.4551933622562354,154,fish7p2_154
82,101.261,118.609,3.67962140921283,90.52887385801284,0.17962140921282987,-46.391000000000005,-77.739,120.543,130.5,0.4551685494441722,82,fish3p2_82
164,80.5,156.5,2.9155750553769617,95.94008547004739,0.5844249446230383,21.5,-93.5,101.541,107.622,0.45426030480829543,164,fish5p1_164
127,80.0,51.5,3.9614599179867493,112.85056490775754,0.46145991798674935,-82.5,-77.0,96.875,100.188,0.45358803778857576,127,fish9_127
60,95.964,119.143,3.675976964784573,80.2200956431741,0.17597696478457303,-40.857,-69.036,120.0,128.036,0.4531286077118449,60,fish7p2_60
66,91.28,122.28,3.5146262722137616,70.57362680208522,0.01462627221376156,-25.72,-65.72,120.707,131.171,0.4527662103411264,66,fish4_plane1_66
43,58.288,79.288,3.6476997368564534,112.86036455727051,0.14769973685645343,-54.712,-98.712,113.515,122.636,0.4481306851032989,43,fish9_43
131,36.5,209.5,2.773897443385031,137.70439353920412,0.7261025566149688,49.5,-128.5,95.216,95.811,0.448074552670432,131,fish7p2_131
77,71.421,147.553,3.1468158501100505,85.5801673870763,0.3531841498899495,-0.44700000000000273,-85.579,108.763,116.026,0.4480006591114572,77,fish4_plane1_77
31,58.154,63.385,3.7619139101134595,121.47843405724328,0.26191391011345955,-70.61500000000001,-98.846,106.192,113.154,0.4454759656538736,31,fish9_31
146,26.0,205.5,2.727981492137184,143.06379695786072,0.7720185078628159,57.5,-131.0,93.615,95.923,0.4452428046663706,146,fish4_plane1_146
90,72.971,173.441,2.9965662565417754,93.00536179167307,0.5034337434582246,13.441000000000003,-92.029,124.706,135.676,0.44481184259480566,90,fish7p2_90
155,61.594,235.783,2.410660266737456,150.97126191762456,1.0893397332625439,100.78299999999999,-112.406,164.321,193.358,0.4436057842367401,155,fish5p1_155
174,122.0,94.0,4.035932773977107,91.0494371207203,0.5359327739771071,-71.0,-57.0,98.95,103.1,0.4432432432432434,174,fish3p2_174
84,37.591,167.045,2.9834309555928096,120.91824223829917,0.5165690444071904,19.044999999999987,-119.40899999999999,100.152,104.939,0.44169494755513883,84,fish4_plane1_84
