X,Y,ratio
72.604,-82.95,0.16544182538791097
83.41199999999999,-83.145,0.19414291706422188
78.717,-81.201,0.17201738524949178
98.046,-78.966,0.20991131130983537
75.18900000000001,-78.33,0.2467949613473065
89.55,-78.39,0.2144610858566356
85.11200000000001,-77.124,0.22659638206533392
71.89399999999999,-76.708,0.34059017450818796
73.111,-73.041,0.18048090022254357
75.09599999999999,-75.484,0.14155844155844155
68.30999999999999,-72.072,0.25224339510473864
85.135,-70.074,0.2713314245076277
89.354,-70.435,0.3503621631747862
107.586,-70.118,0.39264030812406014
95.259,-69.52,0.41521441125387165
112.56400000000001,-69.433,0.308628814
73.04,-68.904,0.26838867201803046
104.46300000000001,-67.799,0.37809946069984673
68.02999999999999,-67.184,0.2475773682625328
93.44099999999999,-66.499,0.5496536727440529
77.38000000000001,-65.03,0.4660323644194154
98.766,-64.567,0.5845314898504674
72.22600000000001,-64.662,0.4369588958421647
84.35100000000001,-64.243,0.4160448096309173
108.54799999999999,-64.65,0.572760396
91.235,-63.09,0.6462318507741921
104.36999999999999,-63.121,0.5780513258245661
87.514,-60.565,0.43932925254232574
81.48200000000001,-60.454,0.5472658684208479
113.04199999999999,-60.593,0.45089010397541207
76.55399999999999,-59.878,0.5470204636250223
108.448,-60.867,0.4437781519968237
125.39200000000001,-58.587,0.30359693500608637
71.38199999999999,-59.071,0.49589594466663994
118.95,-58.572,0.2745936594834502
92.54199999999999,-57.69,0.5673545335361182
97.497,-57.33,0.663416088
110.355,-56.662,0.4672847961226425
86.64800000000001,-56.873,0.7003684473184043
81.21,-56.101,0.7090917511013543
75.104,-55.072,0.6290478272507173
69.652,-54.636,0.5514836920205641
126.26899999999999,-54.171,0.40982435075954354
89.123,-53.177,0.7292366608260896
121.57700000000001,-52.648,0.5155839129601296
97.23899999999999,-52.547,0.5558630679141496
85.16199999999999,-52.292,0.7580979125152767
80.016,-52.257,0.7438841437521884
92.813,-51.362,0.7532784351593181
115.98100000000001,-51.442,0.5513346186509241
105.854,-50.864,0.5919761461180101
78.246,-48.561,0.44930799467195753
126.026,-48.695,0.4503021341672455
88.44600000000001,-48.24,0.7522209957876416
101.43599999999999,-47.787,0.64492054
120.83399999999999,-47.962,0.5745247600837281
96.23200000000001,-47.064,0.7177272903159521
114.758,-47.314,0.609151315
81.62499999999999,-45.701,0.6781457449637679
110.671,-44.956,0.6802240636981877
117.96400000000001,-44.05,0.6159658838710071
127.63000000000001,-43.493,0.7420387137059008
